City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,hermanus,-34.4187,19.2345,8.220000000000027,58,98,5.31,ZA,1722798004
66,gornyak,50.9942,81.4661,19.760000000000048,49,87,1.66,RU,1722798005
67,touros,-5.1989,-35.4608,26.27000000000004,65,0,7.44,BR,1722798007
68,albany,42.6001,-73.9662,29.30000000000001,77,64,0.45,US,1722797918
69,longyearbyen,78.2186,15.6401,11.910000000000025,76,0,5.66,SJ,1722798009
70,thompson,55.7435,-97.8558,19.090000000000032,42,75,3.6,CA,1722797938
71,tiksi,71.6872,128.8694,10.25,63,100,3.24,RU,1722798011
72,jimenez,28.3333,-105.4,34.99000000000001,22,82,4.26,MX,1722798013
73,kodiak,57.79,-152.4072,11.730000000000018,94,100,4.63,US,1722798014
74,port alfred,-33.5906,26.891,12.879999999999995,68,100,3.13,ZA,1722798016
75,college,64.8569,-147.8028,16.760000000000048,72,20,2.06,US,1722797737
76,kavieng,-2.5744,150.7967,26.900000000000034,79,100,3.31,PG,1722798019
77,abalak,58.1286,68.5944,14.670000000000016,92,82,0.27,RU,1722798020
78,jamestown,42.097,-79.2353,28.900000000000034,52,40,4.12,US,1722797915
79,bridgewater,44.3835,-64.5155,23.950000000000045,92,81,2.57,CA,1722798023
80,nadym,65.5333,72.5167,15.590000000000032,69,100,8.62,RU,1722798024
81,punta arenas,-53.15,-70.9167,2.0600000000000023,80,75,2.57,CL,1722798007
82,kingaroy,-26.5333,151.8333,8.879999999999995,94,76,1.03,AU,1722798027
83,solnechnyy,50.7214,136.6319,14.129999999999995,69,100,2.06,RU,1722798029
84,yarmouth,41.7057,-70.2286,28.970000000000027,80,0,10.29,US,1722798030
85,invercargill,-46.4,168.35,3.900000000000034,94,87,1.34,NZ,1722798031
86,afaahiti,-17.75,-149.2833,25.930000000000007,72,79,4.95,PF,1722798032
87,isafjordur,66.0755,-23.124,12.020000000000039,71,40,7.2,IS,1722798033
88,tocache,-8.1842,-76.5125,35.160000000000025,32,24,1.12,PE,1722798034
89,gobabis,-22.45,18.9667,18.129999999999995,28,0,5.11,NA,1722798036
90,carnarvon,-24.8667,113.6333,16.870000000000005,72,0,7.1,AU,1722798037
91,loa janan,-0.583,117.095,22.420000000000016,97,59,1.03,ID,1722798038
92,port elizabeth,-33.918,25.5701,12.830000000000041,71,20,10.8,ZA,1722797826
93,kapa'a,22.0752,-159.319,26.379999999999995,73,57,2.68,US,1722798040
94,puerto natales,-51.7236,-72.4875,1.25,93,75,1.03,CL,1722798041
95,enewetak,11.3474,162.3373,28.680000000000007,76,100,3.73,MH,1722798043
96,neryungri,56.6709,124.6491,12.350000000000023,99,100,0.77,RU,1722798044
97,yanbu,24.0891,38.0637,34.02000000000004,70,40,5.14,SA,1722797982
98,birigui,-21.2886,-50.34,31.82000000000005,18,1,3.68,BR,1722798005
99,dongning,44.0622,131.1207,19.49000000000001,90,100,2.65,CN,1722798047
100,sittwe,20.15,92.9,26.700000000000045,89,100,3.35,MM,1722798048
101,lihue,21.9789,-159.3672,25.970000000000027,85,50,5.64,US,1722798051
102,karauli,26.5,77.0167,26.420000000000016,91,100,6.23,IN,1722798052
103,atafu village,-8.5421,-172.5159,27.74000000000001,80,62,6.38,TK,1722798053
104,nar'yan-mar,67.6713,53.087,8.340000000000032,76,100,6.8,RU,1722798054
105,hanceville,34.0607,-86.7675,34.14000000000004,48,7,3.33,US,1722798056
106,howard springs,-12.497,131.047,21.950000000000045,92,100,2.13,AU,1722797905
107,badger,64.8,-147.5333,18.33000000000004,72,0,2.06,US,1722798058
108,verkhotur'ye,58.8627,60.8054,14.57000000000005,96,100,1.99,RU,1722798059
109,nyurba,63.2842,118.3319,11.480000000000018,70,10,2.49,RU,1722798060
110,mpanda,-6.3655,31.0409,20.49000000000001,27,4,0.48,TZ,1722798062
111,mariental,-24.6333,17.9667,15.110000000000014,20,86,6.63,NA,1722798063
112,hasaki,35.7333,140.8333,24.220000000000027,86,5,1.83,JP,1722798064
113,nova sintra,14.8667,-24.7167,27.25,77,100,2.37,CV,1722798065
114,champerico,14.3,-91.9167,33.30000000000001,76,91,2.52,GT,1722798066
115,west island,-12.1568,96.8225,25.99000000000001,83,40,5.66,CC,1722798067
116,pimentel,-6.8367,-79.9342,22.160000000000025,64,40,6.17,PE,1722798069
117,aroma,15.8167,36.1333,31.460000000000036,51,77,2.84,SD,1722798070
118,hawaiian paradise park,19.5933,-154.9731,23.82000000000005,92,100,2.57,US,1722798071
119,priargunsk,50.3691,119.1012,16.57000000000005,90,97,2.31,RU,1722798072
120,primero de mayo,-32.2552,-58.4228,19.340000000000032,32,100,6.27,AR,1722798073
121,behshahr,36.6923,53.5526,24.970000000000027,74,0,1.29,IR,1722798075
122,bardai,11.65,7.2333,22.49000000000001,82,100,4.16,NG,1722798076
123,vadso,70.0744,29.7487,13.490000000000009,93,75,6.69,NO,1722798077
124,hilo,19.7297,-155.09,25.340000000000032,97,100,2.57,US,1722798049
125,acajutla,13.5928,-89.8275,28.57000000000005,76,90,2.63,SV,1722798079
126,tarko-sale,64.9225,77.785,17.950000000000045,77,100,8.24,RU,1722798080
127,mao,39.8885,4.2658,27.310000000000002,61,0,2.06,ES,1722798082
128,guerrero negro,27.9769,-114.0611,26.920000000000016,51,20,6.43,MX,1722798083
129,chibougamau,49.9168,-74.3659,16.79000000000002,72,100,4.12,CA,1722798084
130,bredasdorp,-34.5322,20.0403,6.8700000000000045,71,26,3.74,ZA,1722798085
131,codrington,-38.2667,141.9667,5.5400000000000205,81,100,3.2,AU,1722798088
132,naze,28.3667,129.4833,28.510000000000048,83,22,5.35,JP,1722798089
133,san patricio,28.017,-97.5169,34.53000000000003,40,2,3.29,US,1722798090
134,sucre,-19.0333,-65.2627,18.55000000000001,36,24,6.15,BO,1722798091
135,susuman,62.7833,148.1667,9.150000000000034,62,19,1.11,RU,1722798092
136,san lawrenz,36.0553,14.204,26.670000000000016,84,1,3.01,MT,1722798093
137,le port,-20.9373,55.2919,18.980000000000018,84,14,1.71,RE,1722798095
138,alesund,62.4723,6.1549,15.740000000000009,85,75,1.03,NO,1722798097
139,st. john's,47.5649,-52.7093,23.660000000000025,88,100,6.17,CA,1722798098
140,kodinsk,58.6881,99.1844,12.670000000000016,83,6,0.27,RU,1722798099
141,ust-nera,64.5667,143.2,9.090000000000032,80,28,1.9,RU,1722798101
142,sangonera la verde,37.9286,-1.2079,30.58000000000004,54,0,3.52,ES,1722798102
143,wailua homesteads,22.0669,-159.378,26.53000000000003,85,65,3.13,US,1722798103
144,constantia,44.1833,28.65,22.610000000000014,58,12,3.12,RO,1722798106
145,vorkuta,67.5,64.0,10.160000000000025,61,100,5.94,RU,1722798107
146,suez,29.9737,32.5263,27.090000000000032,55,57,7.16,EG,1722798056
147,hamilton,39.1834,-84.5333,33.54000000000002,53,20,1.34,US,1722798109
148,aykhal,66.0,111.5,14.020000000000039,56,13,3.34,RU,1722798110
149,kununurra,-15.7667,128.7333,16.99000000000001,88,0,1.03,AU,1722798111
150,pamandzi,-12.7967,45.2794,24.879999999999995,65,0,3.6,YT,1722798074
151,pedernales,18.0384,-71.744,31.129999999999995,63,23,2.46,DO,1722798114
152,dauphin,51.1494,-100.0502,20.08000000000004,56,20,2.06,CA,1722798086
153,tazovsky,67.4667,78.7,8.700000000000045,65,89,6.33,RU,1722798116
154,gjilan,42.4604,21.4699,22.180000000000007,47,100,2.41,XK,1722798042
155,kapuskasing,49.4169,-82.4331,19.05000000000001,48,75,6.17,CA,1722798119
156,pikalevo,59.5183,34.1664,15.960000000000036,92,79,1.37,RU,1722798120
157,la'ie,21.6477,-157.9253,27.980000000000018,77,9,4.02,US,1722798121
158,trairi,-3.2778,-39.2689,27.350000000000023,67,0,6.77,BR,1722798122
159,pokhara,28.2333,83.9833,21.720000000000027,95,90,0.23,NP,1722798123
160,kayyerkan,69.3786,87.7439,6.2900000000000205,77,0,7.41,RU,1722798125
161,uturoa,-16.7333,-151.4333,24.80000000000001,71,12,7.89,PF,1722798126
162,lauro de freitas,-12.8944,-38.3272,28.010000000000048,57,20,6.17,BR,1722798127
163,nemuro,43.3236,145.575,15.520000000000039,100,100,3.48,JP,1722798128
164,cill airne,52.05,-9.5167,18.350000000000023,94,96,3.54,IE,1722798129
165,sola,-13.8833,167.55,23.910000000000025,77,100,11.28,VU,1722798131
166,portland,45.5234,-122.6762,29.600000000000023,49,0,0.45,US,1722798009
167,kananga,-5.8958,22.4178,25.870000000000005,24,4,1.6,CD,1722798133
168,labrador city,52.9463,-66.9114,20.660000000000025,49,75,6.26,CA,1722798134
169,zemio,5.0314,25.1361,20.840000000000032,96,100,1.48,CF,1722798135
170,ta`u,-14.2336,-169.5144,26.450000000000045,67,100,1.98,AS,1722798137
171,piacabucu,-10.4056,-36.4344,25.260000000000048,69,22,5.41,BR,1722798138
172,whitehorse,60.7161,-135.0538,19.5,51,40,1.54,CA,1722798139
173,crane,31.3974,-102.3501,34.910000000000025,27,9,3.66,US,1722798141
174,la passe,45.5549,-0.8967,26.129999999999995,78,0,3.99,FR,1722798142
175,saudarkrokur,65.7461,-19.6394,15.110000000000014,59,62,4.59,IS,1722798143
176,namtsy,62.7161,129.6658,10.300000000000011,70,98,1.82,RU,1722798144
177,ghat,24.9647,10.1728,35.51000000000005,9,0,3.37,LY,1722798145
178,terra santa,-2.1042,-56.4869,37.879999999999995,21,12,3.93,BR,1722798147
179,alofi,-19.0595,-169.9187,22.939999999999998,94,20,2.06,NU,1722798148
180,hiratacho,35.4333,132.8167,26.010000000000048,94,40,2.06,JP,1722798149
181,dwarka,22.2394,68.9678,27.850000000000023,88,100,8.89,IN,1722798150
182,mount gambier,-37.8333,140.7667,4.3799999999999955,85,100,1.89,AU,1722798151
183,kavaratti,10.5669,72.642,27.670000000000016,84,21,5.45,IN,1722798152
184,port hedland,-20.3167,118.5667,17.03000000000003,67,0,6.17,AU,1722798154
185,lyubinskiy,55.1542,72.6925,16.82000000000005,91,17,3.48,RU,1722798155
186,khorostkiv,49.2111,25.9217,15.830000000000041,67,15,0.41,UA,1722798156
187,reuleuet,5.2167,96.2833,26.450000000000045,82,100,1.26,ID,1722798157
188,puerto madero,14.7208,-92.4215,28.110000000000014,77,100,2.05,MX,1722798158
189,puerto deseado,-47.7503,-65.8938,5.3799999999999955,88,81,5.37,AR,1722798160
190,minot,48.2325,-101.2963,23.060000000000002,35,100,6.93,US,1722798107
191,keflavik,64.0049,-22.5624,14.950000000000045,67,0,5.14,IS,1722798162
